rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,Rank,CCA3,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
178,kimberly.loaiza,78,0.59,35.5,2.6,5.23%,1.8,1.6,Mexico,10.0,MEX,Mexico City,North America,127504125.0,125998302.0,120149897.0,112532401.0,97873442.0,81720428.0,67705186.0,50289306.0,1964375.0,64.9082,1.0063,1.6
179,barackobama,81,0.66,35.4,1.1,1.19%,411.5,739.5,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
181,simonemendes,72,4.4,35.0,420.0,0.65%,222.9,1.9,Brazil,7.0,BRA,Brasilia,South America,215313498.0,213196304.0,205188205.0,196353492.0,175873720.0,150706446.0,122288383.0,96369875.0,8515767.0,25.2841,1.0046,2.7
182,ivetesangalo,84,7.6,34.8,226.4,0.36%,121.1,1.7,Brazil,7.0,BRA,Brasilia,South America,215313498.0,213196304.0,205188205.0,196353492.0,175873720.0,150706446.0,122288383.0,96369875.0,8515767.0,25.2841,1.0046,2.7
185,dannapaola,68,1.9,34.7,1.5,3.49%,1.2,2.8,Mexico,10.0,MEX,Mexico City,North America,127504125.0,125998302.0,120149897.0,112532401.0,97873442.0,81720428.0,67705186.0,50289306.0,1964375.0,64.9082,1.0063,1.6
187,blakelively,80,0.11,34.6,3.1,0.02%,0,350.9,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
189,disney,77,7.3,34.2,185.2,0.44%,132.0,1.4,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
190,shaymitchell,83,6.3,34.1,732.4,0.73%,247.5,4.6,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
191,bmw,79,9.3,33.7,231.3,0.23%,76.5,2.2,Germany,19.0,DEU,Berlin,Europe,83369843.0,83328988.0,82073226.0,81325090.0,81551677.0,79370196.0,77786703.0,78294583.0,357114.0,233.4544,0.9995,1.05
192,danbilzerian,84,1.4,33.6,2.0,3.58%,1.2,2.8,Canada,39.0,CAN,Ottawa,North America,38454327.0,37888705.0,35732126.0,33963412.0,30683313.0,27657204.0,24511510.0,21434577.0,9984670.0,3.8513,1.0078,0.48
193,khabib_nurmagomedov,63,4.5,33.5,685.1,0.67%,220.7,3.1,Russia,9.0,RUS,Moscow,Europe,144713314.0,145617329.0,144668389.0,143242599.0,146844839.0,148005704.0,138257420.0,130093010.0,17098242.0,8.4636,0.9973,1.81
194,zidane,41,0.37,33.5,1.1,1.61%,532.7,391.9,France,23.0,FRA,Paris,Europe,64626628.0,64480053.0,63809769.0,62444567.0,58665453.0,56412897.0,53713830.0,50523586.0,551695.0,117.1419,1.0015,0.81
195,sonamkapoor,75,4.8,33.3,264.7,0.63%,209.2,1.3,India,2.0,IND,New Delhi,Asia,1417173173.0,1396387127.0,1322866505.0,1240613620.0,1059633675.0,870452165.0,696828385.0,557501301.0,3287590.0,431.0675,1.0068,17.77
196,iambeckyg,71,2.3,33.2,623.8,1.40%,464.7,1.4,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
197,nancyajram,81,3.8,33.2,390.4,0.64%,208.0,1.5,France,23.0,FRA,Paris,Europe,64626628.0,64480053.0,63809769.0,62444567.0,58665453.0,56412897.0,53713830.0,50523586.0,551695.0,117.1419,1.0015,0.81
198,luansantana,79,0.77,33.2,193.3,0.26%,82.6,149.2,Brazil,7.0,BRA,Brasilia,South America,215313498.0,213196304.0,205188205.0,196353492.0,175873720.0,150706446.0,122288383.0,96369875.0,8515767.0,25.2841,1.0046,2.7
199,nickjonas,78,2.3,33.0,719.6,1.42%,467.7,1.7,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
200,raisa6690,80,4.2,32.8,232.2,0.30%,97.4,969.1,Indonesia,4.0,IDN,Jakarta,Asia,275501339.0,271857970.0,259091970.0,244016173.0,214072421.0,182159874.0,148177096.0,115228394.0,1904569.0,144.6529,1.0064,3.45
